date,high,low,open,close,volume
2018-03-09 00:00:00+05:30,919.35,911.05,914.9,913.1,4863577
2018-03-12 00:00:00+05:30,933.1,917.55,920,930.3,3801407
2018-03-13 00:00:00+05:30,936,921.35,931.9,931.85,5096825
2018-03-14 00:00:00+05:30,932.05,919.2,928.8,929.05,6731530
2018-03-15 00:00:00+05:30,929.45,910,925,911.8,5811424
2018-03-16 00:00:00+05:30,909.7,886.05,909,900.05,14087564
2018-03-19 00:00:00+05:30,906.9,892,901,895.5,5774392
2018-03-20 00:00:00+05:30,904,887.05,893.3,889.8,6945721
2018-03-21 00:00:00+05:30,902.35,893.3,894.85,896.9,6727261
2018-03-22 00:00:00+05:30,911.95,895.75,896,908.15,10116965
2018-03-23 00:00:00+05:30,900,889.1,890.6,893.9,10729694
2018-03-26 00:00:00+05:30,904.3,892.5,893.95,901.1,6047262
2018-03-27 00:00:00+05:30,910.75,897,907.2,899.8,6939577
2018-03-28 00:00:00+05:30,895.85,880,895.8,882.7,8759586
2018-04-02 00:00:00+05:30,900.95,886.5,893,892.95,5712065
2018-04-03 00:00:00+05:30,901.7,885.25,891,899.55,6364728
2018-04-04 00:00:00+05:30,911.8,892.05,904.7,894.9,6498407
2018-04-05 00:00:00+05:30,910,903.5,905.1,908.2,3898676
2018-04-06 00:00:00+05:30,918.5,905,908,911,4418462
2018-04-09 00:00:00+05:30,919,912.55,912.55,916,3572251
2018-04-10 00:00:00+05:30,923.9,914.15,918.4,917.05,3865402
2018-04-11 00:00:00+05:30,932.75,916.05,921.8,930.85,6007539
2018-04-12 00:00:00+05:30,936.65,924.2,929.85,928.7,4947725
2018-04-13 00:00:00+05:30,941.7,928.7,932.7,938.85,5767984
2018-04-16 00:00:00+05:30,940,928.5,934.45,937.05,4084450
2018-04-17 00:00:00+05:30,947.2,936,940,944.25,4388713
2018-04-18 00:00:00+05:30,948.2,935.05,945.25,938,3365196
2018-04-19 00:00:00+05:30,945,935,939.1,942.3,4481413
2018-04-20 00:00:00+05:30,941.85,921.2,938,927.9,3349519
2018-04-23 00:00:00+05:30,944.35,928.5,930,936,3508515
2018-04-24 00:00:00+05:30,975.7,935,935.8,970.05,9107264
2018-04-25 00:00:00+05:30,981.8,963.55,973.65,970.5,6436620
2018-04-26 00:00:00+05:30,988,962.25,973,975.35,15588001
2018-04-27 00:00:00+05:30,1011,985.5,989.8,996.3,11666267
2018-04-30 00:00:00+05:30,992.6,960,982,963.3,8871802
2018-05-02 00:00:00+05:30,979.2,965.05,967,972.7,6117761
2018-05-03 00:00:00+05:30,977.9,959.25,977.9,961.6,3947546
2018-05-04 00:00:00+05:30,964.7,950,962.85,953.95,3795692
2018-05-07 00:00:00+05:30,973.25,956.35,958.85,971,3512532
2018-05-08 00:00:00+05:30,982,965.2,977.5,967.1,4934036
2018-05-09 00:00:00+05:30,984.3,962.25,965.9,976.7,4494423
